Порядковый номер,Адрес,Координаты
131,"Ул.Салова, коорд. N59.88075 E30.35993, г. Санкт-Петербург","59.88075,30.35993"
132,"Дорога в аэропорт Пулково, координаты N59.79360 E30.29931, г. Санкт-Петербург","59.7936,30.29931"
133,"Пискаревский просп., напротив д.171-Б, г. Санкт-Петербург","60.00993,30.45285"
134,"Ул.Софийская, д.8, к.1, с.1, г. Санкт-Петербург","59.88215,30.39135"
135,"Ул.Наличная, д.14, лит. А, г. Санкт-Петербург","59.93652,30.23383"
136,"Стачек просп., напротив д. 17, лит. А, г. Санкт-Петербург","59.89363,30.27539"
137,"Кронштадтское ш., бок. Проезд, коорд. N60.00829 E29.73439, г. Кронштадт, г. Санкт-Петербург","60.00829,29.73439"
138,"Приморское ш., коорд. N60.00978 E30.02547, п. Лисий Нос, г. Санкт-Петербург","60.00978,30.02547"
139,"Г. СПб, Большеохтинский мост, коорд. N59.94263 E30.40468","59.94263,30.40468"
140,"Ул.Софийская, д.19, к.1-А, г. Санкт-Петербург","59.88177,30.39125"
141,"Ул.Краснопутиловская, д.65-А, г. Санкт-Петербург","59.86272,30.28451"
142,"Обуховской Обороны просп., д.195, лит. А, г. Санкт-Петербург","59.87014,30.45828"
143,"Московское ш., коорд. N59.8198 E30.36488, г. Санкт-Петербург","59.8198,30.36488"
144,"Дальневосточный просп., д.25, к.1, с.1, г. Санкт-Петербург","59.90366,30.45584"
145,"Приморское ш., коорд. N60.00989 E30.02497, п. Лисий Нос, г. Санкт-Петербург","60.00989,30.02497"
146,"Ул.Кораблестроителей, д.41, лит. А, г. Санкт-Петербург","59.95559,30.2338"
147,"Ленинский просп., д.137-Б, г. Санкт-Петербург","59.85175,30.27855"
148,"Ленинский просп., д.101-Ж, г. Санкт-Петербург","59.85185,30.22873"
149,"Московское ш., коорд. N59.82781 E30.34998, г. Санкт-Петербург","59.82781,30.34998"
150,"Солидарности просп., д.13, к.1, лит. А, г. Санкт-Петербург","59.92009,30.49326"
151,"Ул.Софийская, д.32, к.1-А, г. СПб, Софийская ул., д.32, к.1-А, г. Санкт-Петербург","59.87292,30.40497"
152,"Пискаревский просп., напротив д.171-Б, г. Санкт-Петербург","60.00993,30.45285"
153,"Приморское ш., напротив д. 350, лит. А, г. Сестрорецк, г. Санкт-Петербург","60.10474,29.97599"
154,"Ленинский просп., д.115-Б, г. Санкт-Петербург","59.85182,30.24813"
155,"Большевиков просп., д.8, к.1, лит. А, г. Санкт-Петербург","59.91475,30.47537"
156,"Петрозаводское ш., коорд. N59.77077 E30.71655, п. Саперный, г. Санкт-Петербург","59.77077,30.71655"
157,"Солидарности просп., д.4, лит. А, г. Санкт-Петербург","59.92718,30.48728"
158,"Красносельское (Горелово Тер.) ш., д.24/2, с.1, г. Санкт-Петербург","59.77999,30.13325"
159,"Зеленогорское ш., напротив д.3-А, п. Солнечное, г. Санкт-Петербург","60.15712,29.94731"
160,"Красносельское (Горелово Тер.) ш., коорд. N59.78654 E30.14108, г. Санкт-Петербург",
161,"Большевиков просп., д.9, к.1, лит. А, г. Санкт-Петербург","59.91477,30.47495"
162,"Шлиссельбургский просп., д.47, к.1, лит. А, г. Санкт-Петербург","59.83317,30.5167"
163,"Ул.Руставели, напротив д. 12, лит. А, г. Санкт-Петербург","60.00045,30.43697"
164,"Выборгское ш., д.346, лит. В, г. Санкт-Петербург","60.09177,30.25756"
165,"Лахтинский просп., д.125, лит. А, г. Санкт-Петербург","59.99472,30.13169"
166,"Адмирала Лазарева наб., напротив д.14, стр.1, г. Санкт-Петербург","59.96576,30.27997"
167,"Ленинский просп., д.138/5-А, г. Санкт-Петербург","59.85193,30.27856"
168,"Санкт-Петербургское ш., д.59а-А, п. Стрельна, г. Санкт-Петербург","59.85148,30.06085"
169,"Октябрьская наб., напротив д. 108, к. 1, лит. А, г. Санкт-Петербург","59.8667,30.48671"
170,"Ул.Крыленко, д.3, к.2, лит. Я, г. Санкт-Петербург","59.89381,30.45921"
171,"Обводного Канала наб., напротив д.93а, лит. А, г. Санкт-Петербург","59.91595,30.33978"
172,"Морская наб., д.41, к.1, лит. А, г. Санкт-Петербург","59.95997,30.2324"
173,"Ветеранов просп., д.87-А, г. Санкт-Петербург","59.83471,30.22133"
174,"Ул.Коллонтай, д.30, к.1, лит. А, г. Санкт-Петербург","59.92336,30.48509"
175,"Ул.Коллонтай, д.16, лит. А, г. Санкт-Петербург","59.91795,30.46203"
176,"Петровский просп., напротив д. 20, к. 1, лит. М, г. Санкт-Петербург","59.9599,30.26675"
177,"Ул.Коллонтай, д.17, к.2, лит. А, г. Санкт-Петербург","59.91766,30.46217"
178,"Ул.Танкистов, д.14-А, г. Колпино, г. Санкт-Петербург","59.74643,30.56051"
179,"Ленинский просп., д.147-А, г. Санкт-Петербург","59.85182,30.29456"
180,"Заневский просп., д.37-А, г. Санкт-Петербург","59.93051,30.42042"
181,"Ленинский просп., д.127-Б, г. Санкт-Петербург","59.85178,30.26519"
182,"Ул.Белградская, коорд. N59.87259 E30.35697, г. Санкт-Петербург","59.87259,30.35697"
183,"Тореза просп., д.68, лит. А, г. Санкт-Петербург","60.01193,30.34512"
184,"Приморское ш., д.502а-В, г. Зеленогорск, г. Санкт-Петербург","60.18538,29.75499"
185,"Обводного Канала наб., напротив д. 57, лит. А, г. Санкт-Петербург","59.91451,30.35722"
186,"Ул.Коллонтай, д.31, к.1, лит. А, г. Санкт-Петербург","59.92257,30.48301"
187,"Дальневосточный просп., д.40, лит.А, г. Санкт-Петербург","59.89523,30.46189"
188,"Пискаревский просп., напротив д. 20, лит. А, г. Санкт-Петербург","59.96937,30.41143"
189,"Стачек просп., д.118-А, г. Санкт-Петербург","59.85825,30.25276"
190,"Московское ш., коорд. N59.82781 E30.34998, г. Санкт-Петербург","59.82781,30.34998"
191,"Александровское ш., д.7-А, п. Белоостров, г. Санкт-Петербург","60.14801,30.01133"
192,"Санкт-Петербургское ш., д.47-А, п. Стрельна, г. Санкт-Петербург","59.85178,30.07211"
193,"Шлиссельбургский просп., д.10, лит. А, г. Санкт-Петербург","59.84077,30.49297"
194,"Ул.Бухарестская, д.72, к.1-А, г. Санкт-Петербург","59.87226,30.37931"
195,"Петергофское ш., коорд. N59.84693 E30.14422, г. Санкт-Петербург","59.84693,30.14422"
196,"Шлиссельбургский просп., напротив д.11, лит. А, г. Санкт-Петербург","59.84055,30.49276"
197,"Дунайский просп., напротив д.24-А, г. Санкт-Петербург","59.83156,30.35281"
198,"Большеохтинский мост, коорд. N59.94245 E30.40562, г. Санкт-Петербург","59.94245,30.40562"
199,"Ул.Тельмана, напротив д. 36, к. 1, лит. А, г. Санкт-Петербург","59.89231,30.47545"
200,"Обводного Канала наб., напротив д.158, лит. Б, г. Санкт-Петербург","59.90906,30.26199"
201,"Приморское ш., коорд. N60.18883 E29.73657, г. Зеленогорск, г. Санкт-Петербург","60.18883,29.73657"
202,"Обводного Канала наб., напротив д. 132, лит. А, г. Санкт-Петербург","59.90882,30.29136"
203,"Приморское ш., напротив д. 350, лит. А, г. Сестрорецк, г. Санкт-Петербург","60.10474,29.97599"
