Порядковое число администрации и комитета,Название организации  правообладателя,"Вид активности, вид спорта",Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Иные услуги (перечень)
8.0025,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Мини-футбол, баскетбол","ул. Лермонтова, д. 12, к. 3","Ул. Лермонтова, участок 9 (у дома 12, корпус 3)","59.737628,30.085639",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,True,False,False,Объект имеет освещение
8.0026,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Мини-футбол,"ул. Маршала Захарова, д. 27, корп. 1","Ул. Маршала Захарова, участок 81 (у дома 27, корпус 1)","59.85059,30.20194",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Освещение объекта отсутствует
8.0027,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Баскетбол, волейбол","ул. Маршала Захарова, д. 33, корп. 1","Ул. Маршала Захарова, участок 79 (у дома 33, корпус 1)","59.8495,30.207536",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Освещение объекта отсутствует
8.0028,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",ОФП,"ул. Маршала Захарова, д. 35, корп. 2","Ул. Маршала Захарова, участок 80 (у дома 35, корпус 2)","59.849311,30.208062",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Освещение объекта отсутствует
8.0029,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Мини-футбол,"ул. Маршала Захарова , д. 15, лит. А","Ул. Маршала Захарова , уч. 105 (напротив дома 15, лит. А)","59.852968,30.188482",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,True,False,False,Освещение объекта отсутствует
8.0030,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",ОФП,"ул. Маршала Казакова, д. 24, корп. 2","Ул. Маршала Казакова, участок 36 (у дома 24, корпус 2)","59.858926,30.22484",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Объект имеет освещение
8.0031,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Мини-футбол, баскетбол, гандбол","ул. Маршала Казакова, д. 28, корп. 1","Ул. Маршала Казакова, участок 37 (у дома 28, корп. 1)","59.85819,30.221747",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Объект имеет освещение
8.0032,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Мини-футбол, баскетбол, ОФП, ВФСК ГТО","ул. Массальского, д. 11","Ул. Массальского, участок 2 (у дома 11)","59.739401,30.086448",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Освещение объекта отсутствует
8.0033,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",ОФП,"ул. Отважных, д. 4","Ул. Отважных, участок 10 (у дома 4)","59.835217,30.171388",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Освещение объекта отсутствует
8.0034,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Мини-футбол,"ул. Партизана Германа, д. 11","Ул. Партизана Германа, участок 59 (у дома 11)","59.840147,30.173482",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Объект имеет освещение
8.0035,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Мини-футбол,"ул. Партизана Германа, д. 21","Ул. Партизана Германа, д. 21","59.836874,30.173172",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Освещение объекта отсутствует
8.0036,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Мини-футбол,"ул. Партизана Германа, д. 28","Ул. Партизана Германа, участок 58 (у дома 28)","59.826679,30.180131",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Освещение объекта отсутствует
8.0037,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Мини-футбол, баскетбол, ОФП","ул. Партизана Германа, д. 41","Ул. Партизана Германа, участок 55 (у дома 41)","59.827722,30.17316",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Освещение объекта отсутствует
8.0038,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Мини-футбол,"ул. Партизана Германа, д. 8, корп. 2","Ул. Партизана Германа, участок 56 (у дома 8, корпус 2)","59.838337,30.178422",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Объект имеет освещение
8.0039,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Мини-футбол, баскетбол","ул. Пионерстроя, д. 15, корп. 3","Ул. Пионерстроя, участок 38 (у дома 15, корпус 3)","59.843376,30.124866",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Объект имеет освещение
8.0040,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","ОФП, ВФСК ГТО, настольный теннис, баскетбол","ул. Пионерстроя, д. 15, корп. 3","Ул. Пионерстроя, участок 37 (у дома 15, корпус 3)","59.843651,30.124448",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Объект имеет освещение
8.0041,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",ОФП,"ул. Пограничника Гарькавого, д. 46, корп. 2","Ул. Пограничника Гарькавого, участок 40 (у дома 46, корпус 2)","59.828372,30.14952",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,True,False,False,Объект имеет освещение
8.0042,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","ВФСК ГТО, ОФП, пейнтбол, лазертаг","ул. Поселковая, д. 47","Ул. Поселковая, участок 2 (напротив д. 47)","59.816511,30.173676",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Освещение объекта отсутствует
8.0043,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Мини-футбол,"ул. Спирина, д. 18","Ул. Спирина, участок 5 (у дома 18)","59.738343,30.079441",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,True,False,False,Объект имеет освещение
8.0044,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Мини-футбол, баскетбол, ОФП, ВФСК ГТО","ул. Тамбасова, д. 24, корп.1","Ул. Тамбасова, участок 50 (у дома 24, корпус 1)","59.833108,30.158465",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,True,False,False,Объект имеет освещение
8.0045,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Мини-футбол, гандбол","ул. Чекистов, д. 38","Ул. Чекистов, участок 8 (у дома 38)","59.84325,30.149118",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Объект имеет освещение
8.0046,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Скейтбординг,"ул. Доблести, д. 26, к. 1","Южно-Приморский парк, ул. Доблести, участок 43","59.852587,30.167497",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,False,False,False,Освещение объекта отсутствует
8.0047,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Мини-футбол, баскетбол, , ОФП, ВФСК ГТО","Ленинский пр., д. 93, корп. 2","Ленинский пр., участок 61 (у дома 93, корпус 2)","59.852466,30.207779",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,True,False,False,Освещение объекта отсутствует
8.0048,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Мини-футбол, баскетбол, волейбол, ОФП, ВФСК ГТО","ул. Пограничника Гарькавого, д. 26, корп. 2","Ул. Пограничника Гарькавого, уч. 47 (напротив дома 26, корп. 2)","59.837687,30.148798",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,True,False,False,Объект имеет освещение
8.0049,ГБУ спортивная школа Красносельского района Санкт-Петербурга,Мини-футбол,"ул. Тамбасова, д. 30, корп. 2","Ул. Тамбасова, уч. 49 (у дома 30, корп. 2)","59.828656,30.160264",Проспект Ветеранов,Красносельский,8(812) 730-96-66,Sh.krsl.gov.spb.ru,Работающая,Пн-пт с 16.00 до 20.00,Нет,False,False,True,False,Объект имеет освещение
8.0050,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""","Мини-футбол, баскетбол, волейбол, теннис, настольный теннис, хоккей, скейтбординг, ОФП, ВФСК ГТО","Санкт-Петербург, город Красное Село, территория Хвойный, дом 17, литера А","Территория пос. Хвойный, участок 17","59.671727,30.07581",Проспект Ветеранов,Красносельский,8(812) 365-98-51,Cfksz.krsl.gov.spb.ru,Работающая,08.00 до 22.00,Да,False,True,False,False,Объект имеет освещение
9.001,"СПб ГБУ ""Кронштадтскийоздоровительно-спортивный центр""",Волейбол,"ул.Аммермана, д.4","Ул.Аммермана, участок 4, (юго-восточнее дома 4, литера ""А"")","59.991729,29.789881","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,"Вторник-пятница 17:00-21:00 суббота,воскресенье 12:30-18:30",Доступна,False,True,False,False,
9.002,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""","Баскетбол, волейбол, мини-футбол, силовой элемент","ул.Велещинского, д.15","Ул.Велещинского, участок 3, (северо-восточнее дома 15)","59.99465,29.758785","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,Доступна,False,False,False,False,
9.003,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""","Уличные тренажеры, силовые элементы","ул.Зосимова, д.5","Ул.Зосимова, участок 7,","59.99859,29.759296","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,Доступна,False,False,False,False,
9.004,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""",Мини-футбол,"ул.Зосимова, д.28-30","Ул.Зосимова, участок 6 (восточнее дома 28-30, лит.А)","59.996136,29.759521","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,"Суббота, воскресенье 11:00-15:00",Доступна,False,True,False,False,
9.005,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""","Баскетбол, волейбол, мини-футбол","ул.Красная, д.8","Ул.Красная, участок 6, (юго-восточнее .д.8, литера А)","59.989311,29.775456","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,"Вторник, четверг 18:00-20:00",Доступна,False,True,False,False,
9.006,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""","Настольный теннис, шахматы","ул.Кронштадтская, д.3","Ул.Кронштадтская, участок 1 (северо-восточнее д.3, литера А)","59.998689,29.7722565","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,Доступна,False,False,False,False,
9.007,"СПб ГБУ ""Кронштадтский оздоровительно--спортивный центр""","Волейбол, стритбол, уличные тренажеры","ул.Кронштадтская, д.9","Ул.Кронштадтская, участок 2, (северо-восточнее д.9 литера А)","59.999053,29.771528","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,"Вторник, среда, пятница 17:30-21:30",Доступна,False,False,False,False,
9.008,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""",Уличные тренажеры,"ул.Ленинградская, д.9","Ул.Ленинградская, участок 8 (северо-западнее дома 3, литера А)","59.988367,29.789166","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,,False,False,False,False,
9.009,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""","Баскетбол, мини-футбол, уличные тренажеры","ул.Мануильского, д.9","Ул.Мануильского, участок 1, (западнее дома 9)","59.990906,29.790671","М.Беговая, Кронштадт",Кронштадтский,311 94 46,"Ул.Мануильского, д.9",Работающий,"Пятница 17:00-21:00, суббота, воскресенье 12:30-18:30",Доступна,False,True,False,False,
9.0010,"СПб ""Кронштадтский оздоровительно-спортивный центр""","""Питербаскет"", уличные тренажеры","ул.Посадская, д.25","Ул.Посадская, участок 2, (северо-западнее дома 25)","59.995278,29.760002","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,Доступна,False,False,False,False,
9.0011,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""",Бадминтон,"ул.Советская, д.15","Ул.К.Либкнехта, участок 2 (севернее дома 15 по Советской ул.)","59.993082,29.782455","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,Доступна,False,False,False,False,
9.0012,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""",Уличные тренажеры,"ул.Советская, д.37","Ул.Советская, участок 7 (севернее дома 37, литера А)","59.99418,29.776727","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,Доступна,False,False,False,False,
9.0013,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""","Баскетбол, волейбол, хоккей","ул.Станюковича, д.6","Ул.Станюковича, участок 6, (юго-западнее дома 6, литера А)","60.008649,29.717675","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,"Понедельник, пятница 19:00-21:00 воскресенье 12:00-14:00",Доступна,False,True,False,False,
9.0014,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""",Волейбол,"Цитадельское шоссе, д.43","Цитадельское шоссе, участок15, (севернее дома 43, литера А)","60.00889,29.717342","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,"Понедельник, пятница 17:00-19:00 воскресенье 16:00-18.00",Доступна,False,True,False,False,
9.0015,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""",ГТО,"ул.Аммермана, д.4","Ул.Аммермана, участок 5, (восточнее дома, 44, литера А)","59.997747,29.758157","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,Доступна,False,False,False,False,
9.0016,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""","Мини-футбол, стритбол","ул.Гидростроителей, д.10","Ул.Гибростроителей, участок 11","59.990178,29.789469","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,"Понедельник, пятница 17:00-19:00 Воскресенье 16:00-18:00",Доступна,False,True,False,False,
9.0017,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""",Мини-футбол,"ул.Зосимова, д.9","Ул.Зосимова, участок 10","59.997785,29.758177","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,Доступна,False,False,False,False,
9.0018,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""","ГТО, уличные тренажеры, стритбол, воркаут","ул.Пролетарская, д.30","Ул.Пролетарская, участок 1 (севернее д.30, литера А)","59.989447,29.788172","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,Доступна,False,False,False,False,
9.0019,"СПб ГБУ ""Кронштадтский оздоровительно-спортивный центр""","ГТО, настольный теннис","ул.Восстания, д.22","Ул.Восстания, участок 12 (юго-западнее д.22, литера А)","59.993631,29.786404","М.Беговая, Кронштадт",Кронштадтский,311 94 46,Www.kosc.spb.ru,Работающий,,Доступна,False,False,False,False,
10.0001,ГБУ спортивная школа олимпийского резерва Курортного района СПб,"Футбол,ОФП","Санкт-Петербург, г. Зеленогорск, ул. Кавалерийская, д.32","Восточнее д.15, лит.А по ул. Кавалерийская (напротив школы №611)","60.197046,29.701432",Ж.д. Зеленогорск,Курортный,777-15-10,Http://zel-sportshkola.ru/,Работающий,09.00-18.00,Частично доступно,True,True,True,True,Только для занимающихся ГБУ СШОР Курортного района Санкт-Петербурга
10.0002,ГБУ спортивная школа олимпийского резерва Курортного района СПб,"Футбол,ОФП","Санкт-Петербург, г. Зеленогорск, Красавица, д.6, лит.Б","Южнее дома 6, лит. Б","60.239079,29.757911",Ж.д. Зеленогорск,Курортный,777-15-10,Http://zel-sportshkola.ru/,Временно приостановленно (поле на просушке),09.00-18.00,Нет,True,True,True,True,Только для занимающихся ГБУ СШОР Курортного района Санкт-Петербурга
10.0003,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Футбол,ОФП","Санкт-Петербург, г. Сестрорецк, ул. Володарского, д.8, лит.А","Уч. 1, восточнее д. 8А","60.097704,29.971139","Станция метро Беговая, автобусная остановка школа №541",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0004,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""",ОФП,"Санкт-Петербург, г. Сестрорецк, Северный пляж, д.3",,"60.105226,29.977563","Станция метро Беговая, автобусная остановка ул. Городская больница №40",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0005,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Скейтбординг,ОФП","Санкт-Петербург, г. Сестрорецк, Северный пляж, д.3",,"60.105226,29.977563","Станция метро Беговая, автобусная остановка ул. Городская больница №40",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0006,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Пляжный футбол, пляжный волейбол","Санкт-Петербург, г. Сестрорецк, Северный пляж, д.3",,"60.105226,29.977563","Станция метро Беговая, автобусная остановка ул. Городская больница №40",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0007,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Волейбол,ОФП","Санкт-Петербург, г. Сестрорецк, Северный пляж, д.3",,"60.105226,29.977563","Станция метро Беговая, автобусная остановка ул. Городская больница №40",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0008,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""",ОФП,"Санкт-Петербург, г. Сестрорецк, ул. Володарского, д.21, лит.А","Уч. 1, западнее д. 21А","60.098668,29.97687","Станция метро Беговая, автобусная остановка Школа 541",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0009,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Футбол,ОФП","Санкт-Петербург, г. Сестрорецк, ул. Володарского, д.60, лит.А","Уч. 1, западнее д. 60А","60.106144,29.969037","Станция метро Беговая, автобусная остановка ул. Городская больница №40",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0010,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Баскетбол,ОФП","Санкт-Петербург, г. Сестрорецк, ул. Мосина, д.5, лит.А","Участок 1, юго-западнее д.5А","60.090482,29.961105","Станция метро Беговая, автобусная остановка ул. Воскова 5",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0011,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""",ОФП,"Санкт-Петербург, г. Сестрорецк, ул. Токарева, д.14, лит.А","Уч. 1, южнее д.14А","60.088503,29.948793","Станция метро Беговая, автобусная остановка Детский сад (Токарева)",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0012,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""",ОФП,"Санкт-Петербург, г. Сестрорецк, ш. Дубковское, д.36, лит.А","Уч. 1, севернее д.36А","60.092547,29.948498","Станция метро Беговая, автобусная остановка Детский сад (Токарева)",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0013,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Футбол,ОФП","Санкт-Петербург, г. Сестрорецк, ш. Приморское, д.265, лит.А","Уч. 1, северо-восточнее д. 265А","60.079464,29.963599","Станция метро Беговая, автобусная остановка Приморское шоссе 269",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0014,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""",ОФП,"Санкт-Петербург, г. Сестрорецк, ш. Приморское, д.282, лит.А","Уч. 1, северо-западнее д. 282А","60.095196,29.974105","Станция метро Беговая, автобусная остановка Администрация",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0015,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Футбол,ОФП","Санкт-Петербург, п. Белоостров, Дюны, ул. Восточная, д.6, лит.А","Уч. 1, юго-восточнее д.6А","60.14471,29.995423","Станция метро Беговая, автобусная остановка Центральная улица 10",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0016,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Футбол,ОФП","Санкт-Петербург, п. Песочный, ул. Ленинградская, д.70, корп.1, лит. А","Уч. 1 западнее д.70,корп.1, лит.А","60.118242,30.184904","Станция метро Беговая, автобусная остановка Ленинградская 70",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0017,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Футбол,ОФП","Санкт-Петербург, г. Сестрорецк, ул. Токарева, д.15, лит.А",Уч. 1 восточнее д.15 лит.А,"60.091536,29.957239","Станция метро Беговая, автобусная остановка Детский сад (Токарева)",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0018,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Футбол,ОФП","Санкт-Петербург, п. Песочный, ул. Пионерская","Между д.33 и д.44, уч.1 восточнее пересечения с Ильичевским пер.","60.124777,30.141444","Станция метро Беговая, автобусная остановка Ключевая улица",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0019,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Баскетбол,ОФП,паркур","Санкт-Петербург, г. Сестрорецк, ул. ул. Первого Мая","Севернее дома 3, лит. А","60.097838,29.960519","Станция метро Беговая, автобусная остановка ул. Воскова 5",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0020,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Футбол,ОФП","Санкт-Петербург, г. Сестрорецк, ул. Володарского","Севернее дома 54, лит. А","60.10486,29.971162","Станция метро Беговая, автобусная остановка ул. Городская больница №40",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0021,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""",ОФП,"Санкт-Петербург, г. Сестрорецк, ш. Приморское , д.275, лит.А","Севернее дома 275, лит. А","60.081335,29.961369","Станция метро Беговая, автобусная остановка Разлив",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0022,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""",ОФП,"Санкт-Петербург, г. Сестрорецк, ш. Приморское , д.286, лит.А","Западнее дома 286, лит. А","60.094424,29.975453","Станция метро Беговая, автобусная остановка Администрация",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0023,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Футбол,баскетбол,ОФП","Санкт-Петербург, г. Сестрорецк, ш. Приморское , д.326а","Уч.1, юго-западнее д.326а","60.099817,29.977455","Станция метро Беговая, автобусная остановка Школа 541",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
10.0024,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Курортного района СПб""","Футбол,баскетбол,ОФП","Санкт-Петербург, г. Сестрорецк, ш. Приморское , д.346, лит.А","Юго-восточнее дома 346, лит. А","60.102822,29.976064","Станция метро Беговая, автобусная остановка Улица Борисова",Курортный,"644-80-30, 644-80-35",Http://cfksz.kurort.gov.spb.ru/,Работающий,07:00 - 22:00,Частично доступно,True,True,True,True,
